Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
K. W. Leung,"City University of Hong Kong, Kowloon Tong, Hong Kong SAR China",2015,,,
M. Li; K. -M. Luk,"State Key Laboratory of Millimeter Waves, City University of Hong Kong, Hong Kong SAR, China; State Key Laboratory of Millimeter Waves, City University of Hong Kong, Hong Kong SAR, China",2015,,complementary antennas;low profile antennas;microstrip antennas;wideband antennas,Microstrip antennas;Dipole antennas;Microstrip;Antenna radiation patterns;Slot antennas;Antenna measurements;Bandwidth
K. Rasilainen; J. Ilvonen; A. Lehtovuori; J. -M. Hannula; V. Viikari,"Department of Radio Science and Engineering, School of Electrical Engineering, AALTO, Finland; Department of Radio Science and Engineering, School of Electrical Engineering, AALTO, Finland; Department of Radio Science and Engineering, School of Electrical Engineering, AALTO, Finland; Department of Radio Science and Engineering, School of Electrical Engineering, AALTO, Finland; Department of Radio Science and Engineering, School of Electrical Engineering, AALTO, Finland",2015,"Academy of Finland; Sähkötekniikan Korkeakoulu, Aalto-yliopisto; ",Antenna;detector;diode;harmonic radar;nonlinearity;radio frequency identification (RFID);transponder;varactor;wireless sensors,Antennas;Harmonic analysis;Transponders;Schottky diodes;Varactors;Impedance;Junctions
Z. Li; E. Ahmed; A. M. Eltawil; B. A. Cetiner,"Electrical and Computer Engineering Department, Utah State University, Logan, UT, USA; Electrical Engineering and Computer Science Department, University of California, Irvine, CA; Electrical Engineering and Computer Science Department, University of California, Irvine, CA; Electrical and Computer Engineering Department, Utah State University, Logan, UT, USA",2015,,Beam-steering;reconfigurable antenna;full-wave analysis;signal to noise ratio,PIN photodiodes;Gain;Antennas;Beam steering;Radio frequency;Switches;IEEE 802.11 Standards
B. Liang; B. Sanz-Izquierdo; E. A. Parker; J. C. Batchelor,"University of Kent, The School of Engineering and Digital Arts, Canterbury, U.K.; University of Kent, The School of Engineering and Digital Arts, Canterbury, U.K.; University of Kent, The School of Engineering and Digital Arts, Canterbury, U.K.; University of Kent, The School of Engineering and Digital Arts, Canterbury, U.K.",2015,,Broadband antenna;circular polarization (CP);electromagnetic band gap (EBG);reconfigurable;varactor,Periodic structures;Metamaterials;Tuning;Broadband antennas;Varactors;Surface waves;Capacitance
A. J. Ernest; Y. Tawk; J. Costantine; C. G. Christodoulou,"Electrical and Computer Engineering Department, University of New Mexico, Albuquerque, New Mexico, United States; Electrical and Computer Engineering Department, Notre Dame University, Louaize; Electrical and Computer Engineering Department, American University of Beirut, Lebanon; The University of New Mexico, Configurable Space Microsystems Innovation and Application Center (COSMIAC), Albuquerque, NM, USA",2015,,Balun;CubeSat;deployable antenna;helical antenna,Spirals;Antenna feeds;Impedance matching;Helical antennas;Impedance;Reflector antennas
Y. -L. Ban; Y. -F. Qiang; Z. Chen; K. Kang; J. -H. Guo,"Institute of Electromagnetics, University of Electronic Science and Technology of China (UESTC), Chengdu, P. R. China; Institute of Electromagnetics, University of Electronic Science and Technology of China (UESTC), Chengdu, P. R. China; National Key Lab. Of Science and Technology on Communication, University of Electronic Science and Technology of China (UESTC), Chengdu, P. R. China; Institute of Electromagnetics, University of Electronic Science and Technology of China (UESTC), Chengdu, P. R. China; Department of Biomedical Engineering, Nanyang Technological University, Singapore",2015,,Loop antenna;unbroken metal rim;WWAN/LTE antenna,Antennas;Metals;Resonant frequency;Printed circuits;Impedance;Impedance matching
N. Rostomyan; A. T. Ott; M. D. Blech; R. Brem; C. J. Eisner; T. F. Eibert,"Institute for High-frequency Engineering (HFT), Technische Universität München, Munich, Germany; Sony Deutschland GmbH, European Technology Center (EuTEC), Stuttgart, Germany; Sony Deutschland GmbH, European Technology Center (EuTEC), Stuttgart, Germany; Institute for High-frequency Engineering (HFT), Technische Universität München, Munich, Germany; Institute for High-frequency Engineering (HFT), Technische Universität München, Munich, Germany; Institute for High-frequency Engineering (HFT), Technische Universität München, Munich, Germany",2015,,Angular distortion;balanced antennas;impulse response;spherical multipole expansion;symmetrical feeding;ultrawideband,Antenna radiation patterns;Ultra wideband antennas;Antenna feeds;Antenna measurements;Impedance
X. Y. Z. Xiong; L. L. Meng; L. J. Jiang; W. E. I. Sha; F. Yang,"Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China; Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China; Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China; Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",2015,"Research Grants Council of Hong Kong(grant numbers:GRF 713011, 712612, and 711511); Tsinghua National Laboratory for Information Science and Technology TNList; ",Edge effect;finite periodic structures;frequency selective surface;leaky wave antenna;surface and Bloch waves,Surface waves;Arrays;Materials;Surface reconstruction;Gratings;Dielectric losses
K. Hosoya; N. Prasad; K. Ramachandran; N. Orihashi; S. Kishimoto; S. Rangarajan; K. Maruhashi,"NEC Corporation, Green Platform Research Laboratories, Kawasaki, Japan; NEC Laboratories America, Princeton, NJ, USA; Zipreel Inc.; NEC Corporation, Mobile Wireless Network Division, Kawasaki, Japan; NEC Corporation, Green Platform Research Laboratories, Kawasaki, Japan; NEC Laboratories America, Princeton, NJ, USA; NEC Corporation, Smart Energy Research Laboratories, Kawasaki, Japan",2015,,Beam steering;CMOS integrated circuits;millimeter wave propagation;phased arrays;wireless LAN,Protocols;Antenna measurements;Training;Antenna radiation patterns;Wireless LAN
