Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Table of Contents,,,IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,C1,1586,Presents the table of contents for this issue of the publication.,1558-2221,,10.1109/TAP.2016.2558618,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7464407,,,,,,,IEEE,3 May 2016,,,IEEE,IEEE Journals
IEEE Transactions on Antennas and Propagation,,,IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,C2,C2,"Provides a listing of the editors, board members, and current staff for this issue of the publication.",1558-2221,,10.1109/TAP.2016.2558619,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7464411,,,,,,,IEEE,3 May 2016,,,IEEE,IEEE Journals
A Dual-Band Cavity Antenna Embedded Within Multiple Metallic Enclosures,P. J. Soh; S. Yan; H. Xu; G. A. E. Vandenbosch,"Advanced Communication Engineering (ACE) CoE, School of Computer and Communication Engineering, Universiti Malaysia Perlis (UniMAP), Perlis, Malaysia; ESAT-TELEMIC Research Division, Department of Electrical Engineering, KU Leuven, Leuven, Belgium; ESAT-TELEMIC Research Division, Department of Electrical Engineering, KU Leuven, Leuven, Belgium; ESAT-TELEMIC Research Division, Department of Electrical Engineering, KU Leuven, Leuven, Belgium",IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,1587,1594,"This work describes the design and evaluation of an antenna to be embedded within multiple metallic cavity like structures of quite arbitrary shape. The design is based on an open substrate-integrated waveguide (SIW) implemented with RO 4003 substrate, aiming to miniature the cavity and suited for fabrication with printed-circuit board (PCB) technology. A pair of vias is used to tune the resonances of the cavity for dual-band operation [2.45 and 5-GHz wireless local area network (WLAN) bands], and an open-loop resonator is introduced to enhance the bandwidth. The cavity antenna is fed by a stripline to avoid cross coupling with other devices. Evaluations have been performed both in freespace (FS) and inside multiple metallic cavities. Operating from within the cavities, a good antenna performance is obtained with a maximum -10-dB bandwidth of 4% at 2.45 GHz and 25% at 5.5 GHz. Simulations and measurements agree well. As a proof of concept, the proposed antenna was connected to several WLAN modules inside realistic metallic cavity environments and its operation was evaluated in a realistic indoor environment. These real-life tests confirm that the maximum data rate of 54 Mb/s is obtained for most practical situations, in which the antenna has to operate.",1558-2221,,10.1109/TAP.2016.2539374,"AGFA Healthcare, Mortsel; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7428845,Open waveguide antennas;slot antennas;WLAN antennas;Open waveguide antennas;slot antennas;wireless local area network (WLAN) antennas,Cavity resonators;Slot antennas;Wireless LAN;Topology;Antenna measurements;Substrates,,5,,16,IEEE,8 Mar 2016,,,IEEE,IEEE Journals
"Compact, Wideband Antennas Enabled by Interdigitated Capacitor-Loaded Metasurfaces",T. Yue; Z. H. Jiang; D. H. Werner,"Department of Electrical Engineering, Pennsylvania State Unversity, University Park, PA, USA; Department of Electrical Engineering, Pennsylvania State Unversity, University Park, PA, USA; Department of Electrical Engineering, Pennsylvania State Unversity, University Park, PA, USA",IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,1595,1606,"In this paper, a class of integrated metasurface (MS)-based planar antennas are proposed, which are fed by monopoles operating below their fundamental modes. Various interdigitated capacitor (IC) loading schemes for a metallic sheet backed MS are investigated, which provide footprint miniaturization and bandwidth enhancement. A linearly polarized (LP) MS-based antenna, loaded by ICs, provides a 15% impedance bandwidth and a gain higher than 6.67 dBi. The radiation mechanism and resonant frequency dependence were revealed via a dispersion analysis, which serves to explain the working principle of the proposed antenna. Next, a miniaturized antenna with doubly loaded ICs was introduced, achieving an impedance bandwidth of 10%, a gain above 6 dBi, and a more than 30% footprint reduction. A more advanced compact, circularly polarized (CP) MS-based antenna with a compact footprint, and improved 3-dB axial ratio (AR) bandwidth were also presented, by introducing triangular IC and diagonal slot loadings to the MS. It is demonstrated that this antenna achieves an impedance bandwidth of 16%, a gain above 5.5 dBi, and an AR <;3 dB bandwidth of 10%. Three antenna prototypes were fabricated and measured, with good correspondence between the experimental results and simulation predictions, confirming the proposed design methodologies. These compact and well-performing MS-based antennas have promising potential for applications in modern wideband wireless systems.",1558-2221,,10.1109/TAP.2016.2535499,"National Science Foundation ASSIST Nanosystems ERC(grant numbers:EEC-1160483); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7422001,Antenna;circular polarized;interdigitated capacitor;metasurface;Antenna;circular polarized (CP);interdigitated capacitor (IC);metasurface (MS),Bandwidth;Resonant frequency;Impedance;Antenna feeds;Fingers;Surface impedance,,83,,44,IEEE,29 Feb 2016,,,IEEE,IEEE Journals
Millimeterwave and Terahertz Waveguide-Fed Circularly Polarized Antipodal Curvedly Tapered Slot Antennas,Y. Liu; H. Lu; Y. Wu; M. Cui; B. Li; P. Zhao; X. Lv,"School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China",IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,1607,1614,"Antipodal curvedly tapered slot antennas (ACTSAs) with different slot profiles are investigated to achieve the optimum circular polarization performance. The profiles of the tapered slots can be determined by different curves, such as linear, exponential, and logarithmic curves. Therefore, the corresponding waveguide-fed circularly polarized (CP) antipodal linear, exponential, exponential-logarithmic tapered slot antennas (AL-, E-, EL-TSA) are designed, fabricated, and measured at Ka-band for a comprehensive study. The optimized AELTSA provides good impedance matching, gain above 10.3 dBi, sidelobe lower than -15 dB, low cross-polarization, and left-hand circularly polarized (LHCP) axial ratio (AR) lower than 3 dB, from 28 to 40 GHz. Moreover, a waveguide-fed LHCP antipodal exponential-exponential tapered slot antenna (AEETSA) is designed at 500 GHz and fabricated by silicon micromachining. The radiation characteristics are examined by measurement results of symmetric beams and ARs lower than 1.5 dB, from 490 to 510 GHz.",1558-2221,,10.1109/TAP.2016.2536174,"National Natural Science Foundation of China(grant numbers:61490691,61331019,61401025); National Key Scientific Instrument and Equipment Development Projects of China(grant numbers:61527805); Natural Science Foundation of Beijing Municipality(grant numbers:4154085); Shanghai Academy of Spaceflight Technology(grant numbers:SAST 201439); Basic Research Foundation of Beijing Institute of Technology, China(grant numbers:20140542002); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7421955,Circular polarization;waveguide-fed antenna;tapered slot antenna;Circular polarization;silicon micromachine;tapered slot antenna (TSA);terahertz (THz) antenna;waveguide-fed antenna,Slot antennas;Antenna measurements;Polarization;Antenna radiation patterns;Gain;Optimization,,67,,31,IEEE,29 Feb 2016,,,IEEE,IEEE Journals
Modal-Based Design of a Wideband Quadruple-Ridged Flared Horn Antenna,T. S. Beukman; P. Meyer; M. V. Ivashina; R. Maaskant,"Department of Electrical and Electronic Engineering, Stellenbosch University, Stellenbosch, South Africa; Department of Electrical and Electronic Engineering, Stellenbosch University, Stellenbosch, South Africa; Department of Signals and Systems, Chalmers University of Technology, Gothenburg, Sweden; Department of Signals and Systems, Chalmers University of Technology, Gothenburg, Sweden",IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,1615,1626,"In this paper, a systematic design technique for quadruple-ridged flared horn antennas is presented, to enhance the radiation properties through the profiling of the ridge taper. The technique relies on control of the cutoff frequencies of specific modes inside the horn, instead of brute-force optimization. This is used to design a prototype antenna as a feed for an offset Gregorian reflector system, such as considered for the Square Kilometer Array (SKA) radio telescope, to achieve an optimized aperture efficiency from 2 to 12 GHz. The antenna is employed with a quadraxial feeding network that allows the excitation of the fundamental TE11 mode, while suppressing all other modes that causes phase errors in the aperture. Measured results confirm the validity of this approach, where good agreement is found with the simulated results.",1558-2221,,10.1109/TAP.2016.2537363,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7423692,Ridged Horn;Ridged Waveguide;Reflector Antenna Feed;Ultra Wideband Antenna;Reflector antenna feed;ridged horn;ridged waveguide;ultra wideband antenna,Apertures;Horn antennas;Antenna feeds;Bandwidth;Ultra wideband antennas;Impedance,,33,,28,IEEE,2 Mar 2016,,,IEEE,IEEE Journals
Analytical Models of Dual-Polarized Primary Matched Feeds for Offset Reflector Antennas With Low Cross-Polarization Properties at Both Asymmetry and Diagonal Planes,Z. A. Pour; L. Shafai,"Department of Electrical and Computer Engineering, The University of Alabama, Huntsville, AL, USA; Department of Electrical and Computer Engineering, University of Manitoba, Winnipeg, MB, Canada",IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,1627,1633,"Conjugate-matched primary feeds for offset reflector antennas are reviewed and investigated for both xand y-polarized cases. Tapered dual-mode circular waveguide feeds are analytically modeled to support a TE11-type mode with unequal beamwidths and the TE21-type mode for the two orthogonal polarizations. First, required mode content factors and tapering numbers of the TE11 mode are addressed for the y-polarized case in offset reflectors with different focal length-to-diameter ratios. Then, the model is appropriately tailored for the x-polarized primary feeds. It is shown that when the polarization orientation changes, the corresponding beamwidths of the TE11 mode should be swapped in the principal Eand H-planes. This is particularly important to simultaneously realize low cross-polarization levels at both asymmetry and diagonal planes, when a dual-polarized matched feed is utilized in offset reflector antennas.",1558-2221,,10.1109/TAP.2016.2537361,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7423698,Offset reflector antennas;matched feeds;dual polarization;cross polarization;Cross-polarization;dual-polarization;matched feeds;offset reflector antennas,Reflector antennas;Antenna feeds;Polarization;Aperture antennas;Antenna radiation patterns,,15,,15,IEEE,2 Mar 2016,,,IEEE,IEEE Journals
Design of Novel Reconfigurable Reflectarrays With Single-Bit Phase Resolution for Ku-Band Satellite Antenna Applications,M. -T. Zhang; S. Gao; Y. -C. Jiao; J. -X. Wan; B. -N. Tian; C. -B. Wu; A. -J. Farrall,"Xi’an Institute of Space Radio Technology, Xi’an, China; School of Engineering and Digital Arts, University of Kent, Canterbury, U.K.; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; Xi’an Institute of Space Radio Technology, Xi’an, China; Xi’an Institute of Space Radio Technology, Xi’an, China; Xi’an Institute of Space Radio Technology, Xi’an, China; Xi’an Institute of Space Radio Technology, Xi’an, China",IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,1634,1641,"Reconfigurable reflectarray antennas operating in Ku-band are presented in this paper. First, a novel multilayer unit-cell based on polarization turning concept is proposed to achieve the single-bit phase shift required for reconfigurable reflectarray applications. The principle of the unit-cell is discussed using the current model and the space match condition, along with simulations to corroborate the design and performance criteria. Then, an offset-fed configuration is developed to verify performance of the unit-cell in antenna application, and its polarization transformation property is elaborated. Finally, an offset-fed reflectarray with 10 × 10 elements is developed and fabricated. The dual-polarized antenna utilizes the control code matrices to accomplish a wide angle beam-scanning. A full-wave analysis is applied to the reflectarray, and detailed results are presented and discussed. This electronically steerable reflectarray antenna has significant potential for satellite applications, due to its wide operating band, simple control and beam-scanning capability.",1558-2221,,10.1109/TAP.2016.2535166,"China Scholarship Council; Xi’an Institute of Space Radio Technology (XISRT); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7420589,Reflectarrays;reconfigurable antennas;single-bit;phase shift;polarization twist;beam-scanning;Beam-scanning;phase shift;polarization twist;reconfigurable antennas;reflectarrays;single-bit,PIN photodiodes;Turning;Reflector antennas;Satellite antennas;Electric fields;Phased arrays,,94,,18,IEEE,26 Feb 2016,,,IEEE,IEEE Journals
Mutual Coupling Mitigation in Broadband Multiple-Antenna Communication Systems Using Feedforward Technique,S. M. Amjadi; K. Sarabandi,"Radiation Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA; Radiation Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA",IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,1642,1652,"An efficient method to mitigate the forward scattering (shadowing) effect and the near-field coupling among elements of broadband multiple-antenna communication systems is proposed. The technique is based on provision of a passive feedforward coupling among elements to cancel out the mutual couplings. Electrical current paths, with appropriate shape, location, and length, between adjacent elements are established to provide current distributions on adjacent elements that are approximately equal in magnitude and out of phase with the induced current on the same antenna due to the near-field coupling and scattering effects. As the coupling level decreases, the radiation pattern of an excited array element, in the presence of the other array elements, approaches the pattern of the antenna element in isolation. The technique is first detailed for a two-element wideband monoconical antenna array and is then extended to a uniform 12-element circular array of the same monoconical antennas where only feedforward paths are applied to circumferentially adjacent elements to reduce the coupling over a very wide bandwidth. The experimental results indicate that the application of the proposed feedforward technique to a 12-element circular array of monoconical antennas can provide a minimum of 2-dB reduction in the average gain deviation from omnidirectional radiation over an about 30% fractional bandwidth. Another important feature of the feedforward technique is removal of radiation nulls of the array elements at all frequencies and all directions.",1558-2221,,10.1109/TAP.2016.2535101,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7419889,Antenna arrays;Feed-forward technique;Mutual coupling;Shadowing effect;Antenna arrays;feedforward technique;mutual coupling;shadowing effect,Antenna arrays;Antenna feeds;Couplings;Antenna radiation patterns;Broadband antennas;Mutual coupling,,24,,15,IEEE,25 Feb 2016,,,IEEE,IEEE Journals
Mutual Coupling Reduction for High-Performance Densely Packed Patch Antenna Arrays on Finite Substrate,Z. Qamar; U. Naeem; S. A. Khan; M. Chongcheawchamnan; M. F. Shafique,"Department of Electronic Engineering, City University of Hong Kong, Kowloon Tong, Hong Kong; Department of Electrical Engineering, COMSATS Institute of Information Technology, Islamabad, Pakistan; Department of Electrical Engineering, COMSATS Institute of Information Technology, Islamabad, Pakistan; Department of Computer Engineering, Prince of Songkla University, Hat Yai, Thailand; Department of Electrical Engineering, COMSATS Institute of Information Technology, Islamabad, Pakistan",IEEE Transactions on Antennas and Propagation,3 May 2016,2016,64,5,1653,1660,"This paper reports on an effective mutual coupling suppression technique in which a metamaterial superstrate is placed in between the elements of densely packed microstrip phased array. Modified complementary split ring resonators are printed on the decoupling superstrate slab which caters for both surface and space wave effects. A detailed analysis of this proposed scheme is carried out on a low as well as on a high-permittivity substrate. Coupling suppression of 27 and 11 dB is achieved experimentally on the low- and high-permittivity substrates, respectively, with an element separation of λo/8. The design is compact and easy to realize and it removes drawback of poor front-to-back ratio previously reported in other decoupling techniques. In addition to high-coupling suppression, the decoupling slab can be added or removed in real time which makes this technique versatile for various applications having stringent performance requirements.",1558-2221,,10.1109/TAP.2016.2535540,"National ICT R∓D Fund, Ministry of Information Technology(grant numbers:ICTRDF/HRD/2011/31); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7421984,Metamaterials;microstrip antenna arrays;mutual coupling;phased arrays;planar arrays;Metamaterials;microstrip antenna arrays;mutual coupling;phased arrays;planar arrays,Substrates;Couplings;Permittivity;Antenna arrays;Metamaterials;Mutual coupling,,117,,20,IEEE,29 Feb 2016,,,IEEE,IEEE Journals
