"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of Contents","",,IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","C1","5015","","1558-2221","","10.1109/TAP.2025.3590281","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114776","","","","","","0","IEEE","5 Aug 2025","","","IEEE","IEEE Journals"
"IEEE Transactions on Antennas and Propagation Publication Information","",,IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","C2","C2","","1558-2221","","10.1109/TAP.2025.3590277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114775","","","","","","0","IEEE","5 Aug 2025","","","IEEE","IEEE Journals"
"A Class of Stacked-Disk Dielectric Lenses for Lightweight Wideband Radiating Systems","E. Baldazzi; R. Cicchetti; A. Faraone; L. Foged; O. Testa","Department of Information Engineering, Electronics and Telecommunications, University of Rome “La Sapienza,”, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications, University of Rome “La Sapienza,”, Rome, Italy; Motorola Solutions, Inc., Fort Lauderdale, FL, USA; Microwave Vision Italy s.r.l, Pomezia, Italy; Department of Information Engineering, Electronics and Telecommunications, University of Rome “La Sapienza,”, Rome, Italy",IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","5016","5031","A novel class of lightweight, single, and multirefractive dielectric stacked-disk lens (SDL) designs with excellent electromagnetic performances, exhibiting reduced cost and enhanced simplicity compared to their massive counterparts, is presented. Design guidelines, derived from an accurate frequency-dispersive uniaxial tensor model of periodic dual-layer planar stacks, allow optimization of the key lens parameters-disk number, permittivity, thickness, diameter, and interdisk spacing. Several SDLs designed at 5 GHz using these guidelines, exhibiting stopband thresholds between 6.6 and 13 GHz, −3-dB fractional gain lens-antenna bandwidths ranging from 46.6% to 81.1% and aperture efficiencies between 44.5% and 58.8%, are illustrated. Full-wave simulations, employing a locally conformal finite-integration technique (FIT), show interdisk field propagation, diffraction, field focusing, and stopband behaviors. A novel time-domain metric, the proportional-derivative energy fidelity factor (PDEFF), is introduced to quantify received field waveform quality at the lens focus region, achieving 95%–99% for ultrawideband through-the-wall imaging and 92%–94% for ultrawideband (UWB) waveforms (for lenses having stopband thresholds near and above 10 GHz). An antenna prototype incorporating an SDL design approaches a peak gain of 17 dBi (approximately 10 dB attributable to the lens) and an 87% weight reduction relative to a conventional massive lens, confirming numerical simulation predictions.","1558-2221","","10.1109/TAP.2025.3566246","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10990306","Dielectric lens;dielectric resonator antennas (DRAs);field fidelity factor;Maxwell fisheye lens;off body elliptical lens (OBELs);shaped single shell lens (SSSLs);spherical-axicon dielectric lens (SADLs);ultrawideband (UWB);uniaxial medium;wideband antennas;wireless communications","Lenses;Dielectrics;Permittivity;Tensors;Periodic structures;Focusing;Dielectric resonator antennas;Benchmark testing;Gain;Electromagnetics","","","","35","IEEE","7 May 2025","","","IEEE","IEEE Journals"
"Novel Antenna-in-Package Design Based on Endfire Radiation Subarray Decomposition to Format Broadside Array at Sub-THz Frequencies","H. -T. Chou; Y. -M. Chen; C. -Y. Lee","Graduate Institute of Communication Engineering, National Taiwan University, Taipei, Taiwan; Graduate Institute of Communication Engineering, National Taiwan University, Taipei, Taiwan; Graduate Institute of Communication Engineering, National Taiwan University, Taipei, Taiwan",IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","5032","5043","A novel antenna-in-package (AiP) of a 2-D array is proposed for sub-terahertz (Sub-THz) applications at the 250–310-GHz band. The 2-D array is decomposed into several 1-D row subarrays realized on a multilayered dielectric-substrate panel. To produce sufficient space for active RF transceiver module accommodation, the 1-D row subarrays are designed to radiate endfire patterns from along the edge direction of the dielectric panel such that the space behind the antenna can be freely used with limitations. Afterward, several panels of the 1-D row subarrays are stacked vertically to form the 2-D AiP array by utilizing glued dummy wafers (GDWs) or low-temperature soldering (LTS) ball grid arrays (BGAs), whose thickness may produce a cavity to accommodate the RF transceivers and build the RF signal paths in AiP operation. After the stack up of forming a rectangular array, the antenna is turned around by 90° to face upward, which transforms the endfire radiation into a broadside one, as desired by the ordinary AiP. This AiP has dual-linear polarization (dual-LP) radiations that can align with the base station antenna for polarization matching. Full-wave simulations are presented to demonstrate the design concepts, where measurement results of a 1-D row array are also presented to validate the design and exhibit the radiation characteristics.","1558-2221","","10.1109/TAP.2025.3560386","National Science and Technology Council, Taiwan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10970415","Antenna array;antenna-in-package (AiP);dual-polarization (dual-pol);endfire radiation;sub-terahertz (Sub-THz)","Antenna arrays;Radio frequency;Metals;Antennas;Transceivers;Dielectric substrates;Dielectrics;Antenna measurements;Substrates;Antenna radiation patterns","","","","49","IEEE","18 Apr 2025","","","IEEE","IEEE Journals"
"Dielectric Rod Antenna With Third-Harmonic Suppression via Photonic Crystal Bandgap Material","S. P. Hehenberger; S. Caizzone; A. Yarovoy","German Aerospace Center Institute of Communication and Navigation, Weßling, Germany; German Aerospace Center Institute of Communication and Navigation, Weßling, Germany; Signals and Systems Department, Microwave Sensing, Delft University of Technology, Delft, The Netherlands",IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","5044","5051","A novel concept to mitigate the unintended transmission and reception of signals at the third harmonic of dielectric rod antennas is proposed. To suppress the third-harmonic radiation, an additive-manufactured photonic bandgap material is used in the dielectric rod antenna. The antenna has been designed to operate at the frequency of 5 GHz and exhibit a bandgap at the third-harmonic frequency of 15 GHz. The design of the material is explained via the band diagram of the bandgap material and imperfections introduced due to the additive manufacturing (AM) process considered. Numerical simulations of dielectric rod antenna prototypes fed via a rectangular waveguide (RWG) with and without harmonic suppression are carried out to confirm the operational principle. The design proposed is verified experimentally. The manufactured antenna is characterized in terms of its input reflection coefficient and far-field radiation properties. The obtained experimental results agree well with predictions obtained through simulations and confirm the third-harmonic suppression capability of the antenna.","1558-2221","","10.1109/TAP.2025.3573601","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11021320","Additive manufacturing (AM);antenna;bandgap;dielectric crystal;dielectric rod;harmonic suppression","Dielectrics;Photonic band gap;Antennas;Permittivity;Lattices;Three-dimensional printing;Harmonic analysis;Manufacturing;Geometry;Feeds","","","","13","IEEE","2 Jun 2025","","","IEEE","IEEE Journals"
"Millimeter-Wave Co-Polarized Self-Decoupled Substrate-Integrated Dielectric Resonator Antennas for In-Band Full-Duplex and MIMO Systems","Z. Liu; P. F. Hu; Y. M. Pan; K. W. Leung; S. Y. Zheng","School of Electronics and Information Technology, School of Microelectronics, Guangdong Provincial Key Laboratory of Optoelectronic Information Processing Chips and Systems, Sun Yat-sen University, Guangzhou, China; School of Electronics and Information Technology, School of Microelectronics, Guangdong Provincial Key Laboratory of Optoelectronic Information Processing Chips and Systems, Sun Yat-sen University, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronics and Information Technology, School of Microelectronics, Guangdong Provincial Key Laboratory of Optoelectronic Information Processing Chips and Systems, Sun Yat-sen University, Guangzhou, China; School of Electronics and Information Technology, School of Microelectronics, Guangdong Provincial Key Laboratory of Optoelectronic Information Processing Chips and Systems, Sun Yat-sen University, Guangzhou, China",IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","5052","5063","Millimeter-wave (mm-wave) co-polarized self-decoupled substrate-integrated dielectric resonator antennas (SIDRAs) are investigated. A dual-port design is first studied which employs the loading effect of the feeding probe to modify the E-field distributions of the dielectric resonator (DR)  $ {\text {TE}}_{{3}\delta {1}}^{y}$  mode. The interaction between the probe-loaded and DR modes results in the formation of a quasi-fundamental mode  ${\text {TE}}_{{1}\delta {1}}^{y}$  and a weak field region at the coupled port, leading to stable radiation patterns for each port with high port isolation. Additionally, metal vias is used to surround the DR to reduce cross-polarization. Also, the metal vias form electric walls which can reduce the DR size effectively. A hole is introduced at the center of the DR to further enhance the isolation. Based on the dual-port antenna element, a  $2\times 3$ -port multiple-input multiple-output (MIMO) array with a center-to-center distance of  $0.49\lambda _{0}$  is developed. To improve isolation between adjacent elements, a leaky wave decoupling structure and two strips are introduced, increasing the isolation by 11 dB. Both the antenna element and the MIMO array were fabricated to validate the designs. Experimental results indicate that the −10-dB impedance bandwidth and isolation level of the dual-port antenna element are 6% and 24.4 dB, respectively. For the  $2\times 3$ -port MIMO array, the −10-dB bandwidth and isolation level are 5% and 20 dB, respectively. Stable radiation patterns with low cross-polarization levels are obtained for each port. Our designs feature a simple structure using a single substrate only, with the design methodology extendable to larger MIMO arrays.","1558-2221","","10.1109/TAP.2025.3558577","Fundamental Research Funds for the Central Universities, Sun Yat-sen University(grant numbers:24qnpy134); Guangdong Provincial Natural Science Foundation-Excellent Youth Team Project(grant numbers:2024B1515040005); National Natural Science Foundation of China(grant numbers:U23A20288); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10964559","Dielectric resonator antenna (DRA);in-band full-duplex (IBFD);millimeter wave (mm-wave);multiple-input multiple-output (MIMO);substrate-integrated antenna","Antenna radiation patterns;Probes;Substrates;Antennas;Dielectric resonator antennas;Bandwidth;Metals;Millimeter wave technology;MIMO;Loading","","","","28","IEEE","14 Apr 2025","","","IEEE","IEEE Journals"
"D-Band Demonstration of Quasi-Optical and Analog Beam Reconfiguration Using Phased Array and Lens for 6G Applications","M. Arias Campo; S. Bruni; A. Lauer; M. Wleklinski; U. Gollor; W. Wischmann; A. Friedrich; C. Oikonomopoulos; O. Litschke; C. Herold; A. Malignaggi; N. Moroni; K. Krishnegowda; C. Carta; W. Keusgen","Department of Antennas and EM Modeling, IMST GmbH, Kamp-Lintfort, Germany; Department of Antennas and EM Modeling, IMST GmbH, Kamp-Lintfort, Germany; Department of Antennas and EM Modeling, IMST GmbH, Kamp-Lintfort, Germany; Department of Antennas and EM Modeling, IMST GmbH, Kamp-Lintfort, Germany; Department of HF-Circuits and System Integration, IMST GmbH, Kamp-Lintfort, Germany; Department of Antennas and EM Modeling, IMST GmbH, Kamp-Lintfort, Germany; Department of Antennas and EM Modeling, IMST GmbH, Kamp-Lintfort, Germany; Department of Antennas and EM Modeling, IMST GmbH, Kamp-Lintfort, Germany; Department of Antennas and EM Modeling, IMST GmbH, Kamp-Lintfort, Germany; Department of Circuit Design, IHP-Leibniz-Institut für innovative Mikroelektronik, Frankfurt, Germany; Department of Circuit Design, IHP-Leibniz-Institut für innovative Mikroelektronik, Frankfurt, Germany; Department of Circuit Design, IHP-Leibniz-Institut für innovative Mikroelektronik, Frankfurt, Germany; Department of Circuit Design, IHP-Leibniz-Institut für innovative Mikroelektronik, Frankfurt, Germany; Department of Circuit Design, IHP-Leibniz-Institut für innovative Mikroelektronik, Frankfurt, Germany; Department of High Frequency Systems, Technische Universität Berlin, Berlin, Germany",IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","5064","5074","In this article, a hybrid quasi-optic and analog beamforming approach is presented, involving an elliptical lens with an active focal plane array at D-band (110–170 GHz). Beamwidth reconfigurability and steering in two planes with enhanced performance are demonstrated. The quasi-optic technique minimizes the beam squint over frequency. Analog phase shift in the focal plane array is used to increase the lens steering range. A prototype including two four-channel D-band transceivers with on-chip antennas has been built as demonstrator. The resulting active focal plane array consists of  $2\times 4$  antenna elements, which are tuned in amplitude and phase to reconfigure the beam. The advantages of using a resonant leaky wave (LW) cavity combined with a coherent array of feeds are discussed and quantified. Radiation pattern measurements performed with the calibrated active antenna validate the beam reconfiguration concept in two planes at 140 GHz. A steering loss reduction ranging from 2 to 4.5 dB is achieved in the whole D-band at 22° scan angle by applying beam steering in the feed radiation.","1558-2221","","10.1109/TAP.2025.3557716","Federal Ministry of Education and Research of Germany through the Program of “Souverän(grant numbers:16KISK020K); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10960279","6G;beamforming;communications;focal-planar array;lens antenna;millimiter-wave;on-chip antennas","Lenses;Feeds;Phased arrays;Prototypes;Dielectrics;Array signal processing;Antenna radiation patterns;Transceivers;System-on-chip;Directive antennas","","","","33","IEEE","9 Apr 2025","","","IEEE","IEEE Journals"
"Solving the Efficiency-Dip Problem of Adding Parasitic Elements for Ultrathin Microstrip Antennas","X. Liu; M. Hu; Y. Zhang; P. Wu; H. Wang; Y. Li","Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Wireless Technology, Huawei Technology Company Ltd., Shanghai, China; Huawei Technologies (U.K.) Ltd., Abingdon, U.K.; Department of Electronic Engineering, Beijing National Research Center for Information Science and Technology, and the State Key laboratory of Space Network and Communications, Tsinghua University, Beijing, China",IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","5075","5082","As a common technique to broaden the bandwidth of ultrathin microstrip antennas, adding the parasitic elements often encounters the problem of efficiency dip. This phenomenon is due to the radiation cancellation caused by the out-of-phase currents between the parasitic element and the main radiator. This article proposes a solution by introducing another parasitic element near the initial one and enabling them to resonate in differential mode (DM), and the radiation cancellation at the efficiency dip can be significantly mitigated without attenuating bandwidth expansion. To illustrate this method, an ultrathin dual-polarized microstrip antenna is presented as an example. By designing a pair of L-shaped parasitic strips and converting the parasitic mode from common mode (CM) to DM, the in-band gain variation is reduced from 5.8 to 1.9 dB. The measured results show that the antenna operates with an impedance bandwidth of 2.3% in an extremely low profile of  $0.008~\lambda _{L}$  ( $\lambda _{L}$  is the free-space wavelength at 7.9 GHz). The proposed method mitigates efficiency dips caused by the parasitic elements, exhibiting a feasible solution for bandwidth expansion of ultrathin microstrip antennas while holding the high efficiency.","1558-2221","","10.1109/TAP.2025.3564006","National Key Research and Development Program of China(grant numbers:2021YFA0716601); National Natural Science Foundation of China(grant numbers:U22B2016); Huawei Technologies; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10981546","Antenna radiation efficiency;common and differential modes (DMs);microstrip antennas;wideband antennas","Microstrip antennas;Antennas;Microstrip;Bandwidth;Gain;Resonant frequency;Broadband antennas;Patch antennas;Impedance;Couplings","","","","42","IEEE","30 Apr 2025","","","IEEE","IEEE Journals"
"A Wideband Millimeter-Wave Multibeam Array Using Compact Noncoplanar Substrate Integrated Coaxial Line (SICL) Butler Matrix","Y. Yu; Y. Shi; Z. Chu; C. Chen; Z. Qian; W. Wu","Key Laboratory of Near-Range RF Sensing ICs and Microsystems (NJUST), Ministry of Education, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Key Laboratory of Near-Range RF Sensing ICs and Microsystems (NJUST), Ministry of Education, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Key Laboratory of Near-Range RF Sensing ICs and Microsystems (NJUST), Ministry of Education, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Key Laboratory of Near-Range RF Sensing ICs and Microsystems (NJUST), Ministry of Education, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Key Laboratory of Near-Range RF Sensing ICs and Microsystems (NJUST), Ministry of Education, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Key Laboratory of Near-Range RF Sensing ICs and Microsystems (NJUST), Ministry of Education, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China",IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","5083","5094","In this article, a novel wideband multibeam array fed by a noncoplanar substrate integrated coaxial line (SICL) Butler matrix is presented for millimeter-wave (mmW) applications. The presented Butler matrix consists of SICL noncoplanar couplers, crossovers, and phase shifters, whose inner signal strips are printed on adjacent layers. Considering the weak coupling between circuits on adjacent layers at mmW bands, wideband tandem-type SICL stub-loaded couplers and crossovers, which consist of coupled SICLs on adjacent layers, are introduced here to solve this issue. Compared with the SICL coplanar Butler matrix printed on the same layer, offset-coupled SICLs printed on adjacent layers are utilized in the presented Butler matrix to realize a much wider bandwidth while keeping a compact size ( $1.5\lambda _{0} \times 2.8\lambda _{0}$ ). Wideband, compact SICL-fed tapered slot antennas (TSAs) with opposite metallized via orientations are utilized to connect the inner signal strips of SICLs printed on different layers. As a demonstration, a multibeam array prototype fed by a  $4\times 4$  SICL noncoplanar Butler matrix is fabricated and measured, showing a desirable agreement between simulated and measured results. The presented multibeam array owns a wide operating bandwidth of 51.4% (26–44 GHz) with desirable beam steering performance. For the sake of wideband, compact, and ease of integration, the presented multibeam antenna array represents a promising candidate for mmW wireless applications.","1558-2221","","10.1109/TAP.2025.3539941","National Natural Science Foundation of China(grant numbers:62171222); Natural Science Foundation of Jiangsu Province(grant numbers:BK20210333); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10891332","Butler matrix;millimeter-wave (mmW) antenna array;multibeam antenna array;passive beamforming network (BFN);substrate integrated coaxial line (SICL)","Butler matrices;Couplers;Wideband;Antenna arrays;Directive antennas;Broadband antennas;Transmission line matrix methods;Substrates;Couplings;Reflector antennas","","","","40","IEEE","17 Feb 2025","","","IEEE","IEEE Journals"
"A Novel Substrate-Integrated Corrugated Metallic Surface for Millimeter-Wave Waveguide and High-Gain Antenna Applications","H. Ni; L. Zhu; L. Liu","College of Electronic and Optical Engineering, Nanjing University of Posts and Telecommunications, Nanjing, China; Department of Electrical and Computer Engineering, Faculty of Science and Technology, University of Macau, Macau, SAR, China; National and Local Joint Engineering Laboratory of RF Integration and Micro-Assembly Technology, Nanjing University of Posts and Telecommunications, Nanjing, China",IEEE Transactions on Antennas and Propagation,"5 Aug 2025","2025","73","8","5095","5103","In this article, a novel kind of substrate-integrated corrugated metallic surface (SI-CMS) is proposed. The structure consists of massive subwavelength cells periodically arranged on one layer of dielectric substrate. The proposed SI-CMS cell consists of upper and bottom metal layers to be connected by periodical metal vias as an electric wall in the vertical direction. The key novelty of this structure lies in two aspects. First, the SI-CMS cells achieve transmission characteristics extremely similar to those of typical periodic grooves 3-D corrugated metallic surface (CMS) cells on a planar substrate and retain a high-power handling capacity. Second, the planar structure of the SI-CMS holds several unique advantages of low cost, lightweight, low profile, and easy fabrication, thus effectively addressing a few difficulties in fabrication and integration. Based on the SI-CMS cell, a millimeter-wave waveguide and a high-gain millimeter-wave leaky wave antenna (LWA) are proposed. The LWA using the sinusoidally modulated reactance surface (SMRS) has a high average gain of 20.0 dBi and scanning range from 37.5° to 69.5° within the frequency range of 26.5–30.0 GHz. Prototypes of the proposed SI-CMS waveguide and high-gain LWA are finally fabricated and tested, and it has been revealed that the theoretical calculation, simulation, and measurement are found in good agreement.","1558-2221","","10.1109/TAP.2025.3564639","National Natural Science Foundation of China(grant numbers:62371255,U24A20223); Science and Technology Development Fund of Macao (FDCT)(grant numbers:0085/2020/AMJ); University of Macau(grant numbers:MYRG-GRG2023-00031-FST-UMDF); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10989637","High gain;leaky wave antenna (LWA);millimeter-wave;sinusoidally modulated reactance surface (SMRS);substrate-integrated corrugated metallic surface (SI-CMS)","Substrates;Metals;Dispersion;Electromagnetic waveguides;Surface waves;Three-dimensional printing;Corrugated surfaces;Optical surface waves;Millimeter wave communication;Propagation losses","","","","43","IEEE","6 May 2025","","","IEEE","IEEE Journals"
